City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,sola,-13.8833,167.55,28.19,75,77,7.6,VU,1680544334
84,norman wells,65.282,-126.8329,-9.98,85,75,2.06,CA,1680544334
85,bengkulu,-3.8004,102.2655,23.9,91,100,2.54,ID,1680544334
86,pevek,69.7008,170.3133,-33.07,99,83,3.1,RU,1680544334
87,bluff,-46.6,168.3333,14.89,78,62,6.15,NZ,1680544335
88,walvis bay,-22.9575,14.5053,21.53,64,5,5.66,NA,1680544335
89,rikitea,-23.1203,-134.9692,26.54,82,80,5.87,PF,1680544087
90,kapaa,22.0752,-159.319,22.18,91,100,6.17,US,1680544335
91,bridlington,54.0831,-0.1919,7.96,78,47,6.11,GB,1680544336
92,preobrazheniye,42.9019,133.9064,7.18,74,92,4.87,RU,1680544296
93,hilo,19.7297,-155.09,22.01,94,75,2.57,US,1680544100
94,santa clara,22.4,-79.9667,30.81,45,20,3.6,CU,1680544294
95,dubai,25.2582,55.3047,22.14,60,0,5.14,AE,1680544125
96,port hedland,-20.3167,118.5667,27.03,83,25,0.0,AU,1680544336
97,visnes,59.3556,5.2242,7.68,65,20,3.09,NO,1680544336
98,busselton,-33.65,115.3333,14.12,86,2,2.61,AU,1680544097
99,vestmannaeyjar,63.4427,-20.2734,8.55,93,100,12.86,IS,1680544337
100,longyearbyen,78.2186,15.6401,-12.09,79,75,9.26,SJ,1680544337
101,airai,-8.9266,125.4092,14.53,92,100,0.71,TL,1680544337
102,port elizabeth,-33.918,25.5701,19.5,82,0,11.83,ZA,1680544337
103,beira,-19.8436,34.8389,24.05,88,0,2.68,MZ,1680544337
104,cape town,-33.9258,18.4232,18.95,80,20,2.57,ZA,1680544134
105,santa cecilia,-26.9608,-50.4269,25.04,38,5,0.96,BR,1680544338
106,mar del plata,-38.0023,-57.5575,20.01,71,100,4.12,AR,1680544207
107,tacna,-18.0056,-70.2483,27.11,51,20,3.09,PE,1680544338
108,nueve de julio,-35.4444,-60.8831,22.76,67,98,1.34,AR,1680544339
109,sisimiut,66.9395,-53.6735,-7.68,69,3,5.26,GL,1680544339
110,sulangan,11.1373,123.7228,27.31,77,82,4.96,PH,1680544339
111,healdsburg,38.6105,-122.8692,12.28,42,0,5.66,US,1680544338
112,sandnessjoen,66.0217,12.6316,5.23,77,75,5.14,NO,1680544339
113,brae,60.3964,-1.353,6.09,78,61,8.18,GB,1680544340
114,hithadhoo,-0.6,73.0833,28.28,72,63,3.7,MV,1680544089
115,tigil,57.8,158.6667,-9.89,96,100,1.02,RU,1680544340
116,omboue,-1.5746,9.2618,26.05,84,93,3.09,GA,1680544266
117,chokurdakh,70.6333,147.9167,-13.96,95,100,4.61,RU,1680544340
118,katsuura,35.1333,140.3,10.33,62,0,5.01,JP,1680544127
119,saint george,37.1041,-113.5841,16.25,40,100,6.71,US,1680544182
120,nikolskoye,59.7035,30.7861,-0.05,94,99,4.29,RU,1680544136
121,umm kaddadah,13.6017,26.6876,28.36,11,89,5.15,SD,1680544341
122,khatanga,71.9667,102.5,-22.71,99,100,2.89,RU,1680544136
123,tasiilaq,65.6145,-37.6368,-2.91,82,100,2.74,GL,1680544341
124,coahuayana,18.7333,-103.6833,32.68,35,53,3.47,MX,1680544342
125,port macquarie,-31.4333,152.9167,15.5,93,34,2.42,AU,1680544342
126,georgetown,5.4112,100.3354,25.97,89,20,0.0,MY,1680544114
127,cidreira,-30.1811,-50.2056,23.58,63,10,5.23,BR,1680544099
128,peruibe,-24.32,-46.9983,25.1,66,54,2.75,BR,1680544343
129,moses lake,47.1301,-119.2781,7.2,57,20,3.6,US,1680544343
130,puerto del rosario,28.5004,-13.8627,22.86,49,0,9.77,ES,1680544343
131,hamilton,39.1834,-84.5333,19.01,63,100,1.34,US,1680544113
132,lagoa,39.05,-27.9833,14.58,69,94,6.02,PT,1680544343
133,albany,42.6001,-73.9662,14.03,30,31,2.68,US,1680543766
134,alice springs,-23.7,133.8833,16.75,88,40,0.0,AU,1680544343
135,tessalit,20.1986,1.0114,31.19,5,4,4.47,ML,1680544343
136,kumluca,36.3703,30.2869,15.58,70,51,2.42,TR,1680544344
137,thung song,8.1645,99.6804,23.37,92,82,1.1,TH,1680544344
138,sioux lookout,50.1001,-91.917,-6.96,63,40,3.6,CA,1680544344
139,qaanaaq,77.484,-69.3632,-21.49,73,3,0.98,GL,1680544093
140,tezu,27.9167,96.1667,16.65,78,89,2.38,IN,1680544345
141,saint-augustin,51.226,-58.6502,2.17,66,90,6.55,CA,1680544345
142,half moon bay,37.4636,-122.4286,12.73,52,0,8.75,US,1680544345
143,kutum,14.2,24.6667,26.57,12,44,3.1,SD,1680544241
144,chuy,-33.6971,-53.4616,18.12,74,100,1.01,UY,1680544158
145,krutikha,53.9599,81.2093,-1.18,63,70,2.78,RU,1680544346
146,te anau,-45.4167,167.7167,8.69,93,64,0.13,NZ,1680544346
147,verkhniy rohachyk,47.2505,34.338,8.3,89,99,3.88,UA,1680544346
148,provideniya,64.3833,-173.3,-14.32,97,92,3.32,RU,1680544347
149,praia da vitoria,38.7333,-27.0667,18.14,68,75,3.41,PT,1680544347
150,redding,40.5865,-122.3917,10.12,36,0,3.13,US,1680544237
151,coihaique,-45.5752,-72.0662,14.34,62,75,2.06,CL,1680544347
152,los llanos de aridane,28.6585,-17.9182,20.07,79,20,8.75,ES,1680544138
153,port hardy,50.6996,-127.4199,6.0,81,75,4.12,CA,1680544348
154,leningradskiy,69.3833,178.4167,-32.97,98,36,2.39,RU,1680544348
155,esso,55.9333,158.7,-12.18,98,82,2.83,RU,1680544349
156,caravelas,-17.7125,-39.2481,26.35,77,57,4.42,BR,1680544118
157,narsaq,60.9167,-46.05,10.12,91,100,3.46,GL,1680544186
158,mandleshwar,22.1833,75.6667,29.18,26,0,3.09,IN,1680544349
159,clyde river,70.4692,-68.5914,-22.87,77,0,2.57,CA,1680544350
160,alta floresta,-9.8756,-56.0861,29.9,70,40,1.03,BR,1680544350
161,klaksvik,62.2266,-6.589,8.51,88,100,10.73,FO,1680544350
162,port alfred,-33.5906,26.891,18.43,78,56,2.68,ZA,1680544351
163,lingao,19.9103,109.6859,23.72,87,2,3.96,CN,1680544351
164,shingu,33.7333,135.9833,13.41,76,96,1.13,JP,1680544351
165,cabo san lucas,22.8909,-109.9124,27.81,44,75,1.54,MX,1680544352
166,baoro,5.6667,15.9667,29.53,30,87,1.77,CF,1680544352
167,sur,22.5667,59.5289,24.38,56,4,1.87,OM,1680544352
168,san cristobal,7.7669,-72.225,28.1,42,90,3.69,VE,1680544352
169,caucaia,-3.7361,-38.6531,29.97,73,40,4.12,BR,1680544106
170,punta gorda,26.9298,-82.0454,31.21,65,20,5.14,US,1680544332
171,la asuncion,11.0333,-63.8628,26.86,70,0,8.08,VE,1680544353
172,waingapu,-9.6567,120.2641,25.22,86,100,0.62,ID,1680544353
173,svarstad,59.399,9.9698,7.78,96,99,0.32,NO,1680544353
174,kruisfontein,-34.0033,24.7314,18.27,85,14,6.86,ZA,1680544353
175,faanui,-16.4833,-151.75,27.61,69,59,1.85,PF,1680544353
176,isangel,-19.55,169.2667,26.0,86,35,2.9,VU,1680544353
177,guerrero negro,27.9769,-114.0611,16.26,67,97,9.39,MX,1680544110
178,rudnogorsk,57.2639,103.7519,-5.88,92,100,4.63,RU,1680544354
179,souillac,-20.5167,57.5167,26.21,78,40,3.09,MU,1680544354
180,skaudvile,55.4167,22.6167,-1.08,56,46,4.22,LT,1680544354
181,puerto escondido,15.85,-97.0667,30.93,56,98,4.57,MX,1680544354
182,luderitz,-26.6481,15.1594,18.06,71,0,9.61,NA,1680544354
183,castro,-24.7911,-50.0119,24.1,54,0,2.39,BR,1680544354
184,kyabe,9.4515,18.9449,34.24,13,50,0.98,TD,1680544355
185,itacare,-14.2775,-38.9967,28.21,67,47,4.78,BR,1680543860
186,bambanglipuro,-7.95,110.2833,23.7,90,100,2.87,ID,1680544355
187,whitehorse,60.7161,-135.0538,-3.83,63,75,2.06,CA,1680544207
188,tadine,-21.55,167.8833,25.24,86,86,3.0,NC,1680544355
189,bontang,0.1333,117.5,24.86,90,99,2.04,ID,1680544355
190,canaries,28.0,-15.5,19.66,53,20,12.86,ES,1680544355
191,beyneu,45.3167,55.2,12.0,54,100,3.6,KZ,1680544356
192,gornopravdinsk,60.05,69.9,0.75,96,100,2.77,RU,1680544356
193,grand gaube,-20.0064,57.6608,26.32,73,63,1.34,MU,1680544356
194,cockburn town,21.4612,-71.1419,26.98,65,40,5.14,TC,1680544169
195,merauke,-8.4667,140.3333,24.29,90,100,2.55,ID,1680544357
196,chumikan,54.7183,135.315,-4.25,92,100,3.88,RU,1680544357
197,kralendijk,12.15,-68.2667,29.99,62,75,8.75,BQ,1680544357
198,torbay,47.6666,-52.7314,1.99,70,75,11.83,CA,1680544112
199,port blair,11.6667,92.75,27.02,78,20,1.03,IN,1680544358
200,ostersund,63.1792,14.6357,1.25,93,0,1.54,SE,1680544358
201,lompoc,34.6391,-120.4579,13.9,52,20,9.26,US,1680544358
202,poum,-20.2333,164.0167,26.81,80,66,3.82,NC,1680544358
203,severo-kurilsk,50.6789,156.125,-0.09,92,70,5.61,RU,1680544359
204,inhambane,-23.865,35.3833,22.98,79,0,3.76,MZ,1680544359
205,viedma,-40.8135,-62.9967,23.19,31,0,3.61,AR,1680544359
206,saint-francois,46.4154,3.9054,7.69,75,100,4.63,FR,1680544359
207,canyon,34.9803,-101.9188,28.04,6,0,10.34,US,1680544359
208,san ramon,37.7799,-121.978,11.3,53,0,7.2,US,1680543908
209,la palma,33.8464,-118.0467,16.35,69,75,3.6,US,1680544360
210,surt,31.2089,16.5887,18.23,52,4,10.16,LY,1680544360
211,togur,58.3631,82.8265,1.03,99,100,2.26,RU,1680544360
212,upernavik,72.7868,-56.1549,-23.53,91,93,1.23,GL,1680544360
213,tinaquillo,9.9186,-68.3047,35.04,34,34,2.13,VE,1680544285
214,pontes e lacerda,-15.2261,-59.3353,28.33,75,17,1.38,BR,1680544360
215,constitucion,-35.3333,-72.4167,19.72,55,100,7.01,CL,1680544361
216,phayao,19.25,100.25,24.68,36,48,1.01,TH,1680544361
217,anadyr,64.75,177.4833,-24.72,77,20,5.0,RU,1680544361
218,ilulissat,69.2167,-51.1,-7.99,53,20,8.23,GL,1680544361
219,hamirpur,25.95,80.15,28.19,23,26,3.54,IN,1680544361
220,tanout,14.9709,8.8879,29.74,6,100,2.38,NE,1680544361
221,svetlyy,54.675,20.1347,1.03,63,12,7.7,RU,1680544361
222,sitka,57.0531,-135.33,2.94,81,20,1.54,US,1680544156
223,the valley,18.217,-63.0578,28.92,57,20,8.23,AI,1680544310
224,bargi,22.9833,79.8667,29.76,20,79,1.78,IN,1680544362
225,toora-khem,52.4675,96.11,-12.05,95,93,1.1,RU,1680544362
226,zuwarah,32.9312,12.082,17.75,50,3,4.17,LY,1680544362
227,tartagal,-22.5164,-63.8013,32.55,39,35,1.89,AR,1680543791
228,vytegra,61.0064,36.4481,-0.62,97,100,3.18,RU,1680544362
229,hasaki,35.7333,140.8333,7.34,52,0,5.18,JP,1680544100
230,pisco,-13.7,-76.2167,25.03,83,0,5.14,PE,1680544363
231,isiro,2.7739,27.616,18.69,98,68,2.03,CD,1680544363
232,fort nelson,58.8053,-122.7002,-3.23,63,75,4.12,CA,1680544174
233,kununurra,-15.7667,128.7333,23.99,88,53,0.0,AU,1680544364
234,homer,59.6425,-151.5483,1.13,68,100,2.24,US,1680544364
235,tierra blanca,14.5833,-88.5833,27.81,21,50,1.34,HN,1680544364
236,gunnedah,-30.9833,150.25,14.91,82,40,3.15,AU,1680544364
237,vila velha,-20.3297,-40.2925,27.97,61,75,5.14,BR,1680544161
238,ponta do sol,32.6667,-17.1,20.62,60,13,3.53,PT,1680544171
239,vinh,18.6667,105.6667,26.28,66,18,1.03,VN,1680544364
240,moron,-34.6534,-58.6198,22.11,75,94,0.67,AR,1680544365
241,dalbandin,28.8947,64.4101,22.16,11,19,3.52,PK,1680544365
242,esperance,-33.8667,121.9,18.81,84,97,2.99,AU,1680544365
243,vao,-22.6667,167.4833,25.37,82,16,4.92,NC,1680544365
244,mahajanga,-15.7167,46.3167,27.01,83,20,3.09,MG,1680544365
245,gat,31.61,34.7642,23.0,2,0,3.44,IL,1680544365
246,novaya ladoga,60.1025,32.3019,-1.83,93,99,5.24,RU,1680544366
247,luancheng,37.8792,114.6517,10.09,75,100,4.64,CN,1680544366
248,aklavik,68.2191,-135.0107,-13.19,88,50,1.69,CA,1680544366
249,berlevag,70.8578,29.0864,-1.0,69,100,12.35,NO,1680544366
250,khani,41.9563,42.9566,6.76,86,100,1.34,GE,1680544366
251,mitu,1.1983,-70.1733,28.11,76,62,1.25,CO,1680544366
252,marawi,7.9986,124.2928,19.86,95,60,0.64,PH,1680544367
253,omsukchan,62.5333,155.8,-28.37,100,57,1.57,RU,1680544367
254,mizan teferi,6.9833,35.5833,18.68,79,85,1.89,ET,1680544367
255,jamalpur,24.9167,89.9333,23.81,65,49,4.77,BD,1680544367
256,tecuala,22.3986,-105.4569,31.9,32,99,2.88,MX,1680544367
257,kyaikto,17.3,97.0167,27.26,69,26,2.64,MM,1680544368
258,itoman,26.1247,127.6694,20.01,62,75,7.2,JP,1680544368
259,ust-maya,60.4167,134.5333,-6.5,95,100,3.0,RU,1680544368
260,forio,40.7342,13.8646,14.68,64,96,4.92,IT,1680544084
261,mount gambier,-37.8333,140.7667,10.02,95,45,1.91,AU,1680544369
262,saint-louis,16.3333,-15.0,40.8,7,12,1.1,SN,1680544369
263,rafai,4.95,23.9167,25.98,55,64,1.63,CF,1680544369
264,sao filipe,14.8961,-24.4956,24.38,68,5,3.2,CV,1680544261
265,chalisgaon,20.4667,75.0167,28.82,31,0,5.19,IN,1680544369
266,jertih,5.7336,102.4897,23.42,93,97,1.88,MY,1680544370
267,makakilo city,21.3469,-158.0858,22.78,87,75,2.57,US,1680544370
268,talnakh,69.4865,88.3972,-30.65,98,56,3.76,RU,1680544196
269,burnie,-41.0667,145.9167,9.41,98,96,2.04,AU,1680544370
270,camacha,33.0833,-16.3333,17.68,77,40,10.29,PT,1680544371
271,tateyama,34.9833,139.8667,10.54,60,4,4.4,JP,1680544371
272,koksovyy,48.1967,40.5989,9.21,88,69,2.95,RU,1680544371
273,goya,-29.14,-59.2626,35.07,24,76,1.31,AR,1680544258
274,sharjah,25.3573,55.4033,22.16,56,0,5.14,AE,1680544178
275,ponta delgada,37.7333,-25.6667,15.4,67,20,4.12,PT,1680544372
276,tyukalinsk,55.8732,72.1967,-1.41,86,10,2.38,RU,1680544372
277,namatanai,-3.6667,152.4333,26.09,81,97,2.15,PG,1680544372
278,aripuana,-9.1667,-60.6333,26.96,81,70,1.99,BR,1680544372
279,olafsvik,64.8945,-23.7142,5.54,88,100,10.17,IS,1680544372
280,dikson,73.5069,80.5464,-25.82,99,100,4.4,RU,1680544373
281,saint-pierre,-21.3393,55.4781,23.82,83,40,2.06,RE,1680544373
282,salalah,17.0151,54.0924,29.05,74,20,1.03,OM,1680544373
283,cherskiy,68.75,161.3,-25.11,90,56,3.46,RU,1680544373
284,coquimbo,-29.9533,-71.3436,17.85,88,75,5.14,CL,1680544059
285,bambous virieux,-20.3428,57.7575,26.23,78,40,3.09,MU,1680544374
286,praia,14.9215,-23.5087,32.3,14,0,5.66,CV,1680544374
287,tual,-5.6667,132.75,27.51,78,100,4.33,ID,1680544338
288,stillwater,36.1156,-97.0584,28.95,39,0,6.17,US,1680544218
289,sidrolandia,-20.9319,-54.9614,30.6,44,1,2.54,BR,1680544374
290,zyryanka,65.75,150.85,-21.43,93,20,3.54,RU,1680544374
291,kanonji,34.1167,133.65,9.2,78,12,2.07,JP,1680544374
292,itarema,-2.9248,-39.9167,28.02,73,77,2.44,BR,1680544375
293,maamba,-17.3667,27.15,21.26,72,100,1.48,ZM,1680544375
294,ribeira grande,38.5167,-28.7,17.22,63,20,6.17,PT,1680544375
295,raudeberg,61.9875,5.1352,5.53,71,91,8.47,NO,1680544375
296,honningsvag,70.9821,25.9704,-0.14,69,100,8.23,NO,1680544295
297,fayaoue,-20.65,166.5333,27.12,80,92,4.9,NC,1680544376
298,necochea,-38.5473,-58.7368,21.51,54,75,3.79,AR,1680544376
299,barao de melgaco,-16.1944,-55.9675,33.63,40,14,2.25,BR,1680544376
300,vardo,70.3705,31.1107,-1.01,69,100,14.92,NO,1680544376
301,meulaboh,4.1363,96.1285,24.77,87,96,1.76,ID,1680544376
302,enshi,30.3,109.4833,17.13,95,62,1.78,CN,1680544376
303,smithers,54.7804,-127.1743,-1.82,64,75,2.06,CA,1680544376
304,yar-sale,66.8333,70.8333,-24.09,99,21,4.03,RU,1680544186
305,katete,-0.7818,29.7544,16.81,97,99,1.35,UG,1680544377
306,vila franca do campo,37.7167,-25.4333,15.23,61,46,2.2,PT,1680544377
307,qaqortoq,60.7167,-46.0333,3.04,91,100,2.41,GL,1680544377
308,shimoda,34.6667,138.95,10.58,66,3,4.49,JP,1680544377
309,sorland,67.667,12.6934,3.92,80,52,7.12,NO,1680544155
310,rapid valley,44.0625,-103.1463,4.77,54,100,3.13,US,1680544326
311,pimentel,-6.8367,-79.9342,30.16,66,75,1.54,PE,1680544378
312,tiznit,29.5833,-9.5,18.85,55,0,2.94,MA,1680544378
313,lorengau,-2.0226,147.2712,26.6,78,96,0.5,PG,1680544378
314,mogadishu,2.0371,45.3438,28.3,75,56,5.6,SO,1680544378
315,atasu,48.6814,71.6433,1.73,49,1,7.17,KZ,1680544378
316,north bend,43.4065,-124.2243,5.51,92,75,3.6,US,1680544379
317,johnstown,40.3267,-78.922,20.9,32,0,5.66,US,1680544379
318,abadan,30.3392,48.3043,20.97,46,0,3.09,IR,1680544379
319,warrnambool,-38.3833,142.4833,12.41,88,61,1.85,AU,1680544379
320,san patricio,28.017,-97.5169,32.31,52,74,7.09,US,1680544380
321,la sarre,48.8002,-79.1996,-0.13,100,100,2.54,CA,1680544310
322,rawson,-43.3002,-65.1023,20.7,32,0,1.65,AR,1680544380
323,saskylakh,71.9167,114.0833,-20.47,98,98,4.68,RU,1680544380
324,faya,18.3851,42.4509,17.06,61,67,1.96,SA,1680544200
325,mecca,21.4267,39.8261,25.54,34,7,1.93,SA,1680544162
326,traiguen,-38.25,-72.6833,21.66,23,0,4.94,CL,1680544380
327,concordia,-31.393,-58.0209,22.04,64,75,3.6,AR,1680544024
328,mount isa,-20.7333,139.5,21.87,28,72,3.6,AU,1680544381
329,ogaminana,7.5946,6.2248,28.95,57,93,5.48,NG,1680544381
330,uirauna,-6.5183,-38.4122,31.03,49,48,1.32,BR,1680544381
331,mareeba,-17.0,145.4333,21.36,95,92,0.96,AU,1680544382
332,tchibanga,-2.85,11.0333,23.94,92,100,0.58,GA,1680544382
333,twentynine palms,34.1356,-116.0542,15.07,43,11,4.02,US,1680544382
334,hounde,11.5,-3.5167,37.51,10,9,2.86,BF,1680544382
335,victoria,22.2855,114.1577,22.76,94,97,7.14,HK,1680544194
336,sistranda,63.7256,8.834,3.98,92,100,10.5,NO,1680544382
337,chodziez,52.995,16.9198,1.79,55,94,4.43,PL,1680544383
338,provost,52.3501,-110.2683,-8.75,87,100,2.52,CA,1680544383
339,grand baie,-20.0182,57.5802,26.36,73,60,1.34,MU,1680544383
340,geraldton,-28.7667,114.6,20.23,83,54,4.12,AU,1680544186
341,tianpeng,30.9866,103.9393,17.26,92,100,0.97,CN,1680544383
342,vilani,56.5525,26.9245,-2.17,80,99,3.31,LV,1680544384
343,la rioja,42.25,-2.5,10.88,61,23,2.09,ES,1680544139
344,tommot,58.9564,126.2925,-9.53,93,100,4.33,RU,1680544385
345,garowe,8.4054,48.4845,27.5,63,69,8.64,SO,1680544385
346,kuusamo,65.9667,29.1833,-3.98,46,0,2.57,FI,1680544385
347,bourg-en-bresse,46.1667,5.1667,9.05,62,29,4.54,FR,1680544385
348,marzuq,14.4,46.4667,24.08,66,89,2.78,YE,1680544385
349,kimparana,12.8347,-4.9244,37.42,5,52,4.19,ML,1680544386
350,manyana,-23.4,21.7167,24.14,35,44,1.36,BW,1680544386
351,yumen,40.2833,97.2,3.74,30,100,7.1,CN,1680544386
352,saint paul,44.9444,-93.0933,6.27,61,0,3.6,US,1680543898
353,idritsa,56.3316,28.8988,-1.88,96,100,3.05,RU,1680544387
354,vagur,61.4732,-6.8119,7.46,84,100,11.04,FO,1680544387
355,puri,19.8,85.85,27.29,88,14,7.77,IN,1680544387
356,male,4.1748,73.5089,28.97,79,20,2.06,MV,1680544387
357,calabozo,8.9242,-67.4293,36.58,27,7,3.87,VE,1680544388
358,micheweni,-4.9667,39.8333,27.57,79,65,4.31,TZ,1680544388
359,quatre cocos,-20.2078,57.7625,26.16,80,60,3.78,MU,1680544388
360,gazojak,41.1875,61.4036,13.74,32,79,5.78,TM,1680544388
361,jardim,-21.4803,-56.1381,32.08,42,0,2.71,BR,1680544388
362,ahuimanu,21.4447,-157.8378,23.44,89,75,3.6,US,1680544389
363,kibala,9.1104,18.3463,36.97,23,0,1.54,TD,1680544389
364,loandjili,-4.7561,11.8578,27.41,81,98,2.5,CG,1680544389
365,benjamin aceval,-24.9667,-57.5667,33.08,31,0,3.67,PY,1680544389
366,nelson bay,-32.7167,152.15,18.89,97,95,1.34,AU,1680544257
367,gaya,24.7833,85.0,26.32,27,5,1.33,IN,1680544125
